Code	Title	Price
NHIA-054-014	NHIA-054-014 - Ribs	140000.00
NHIA-054-015	NHIA-054-015 - Thigh	140000.00
NHIA-054-016	NHIA-054-016 - Upper Arm	140000.00
NHIA-054-017	NHIA-054-017 - Spinal Column	210000.00
NHIA-054-018	NHIA-054-018 - Osteoclasis, Internal Fixation of Mal-union	140000.00
NHIA-054-019	NHIA-054-019 - Reconstruction Surgeries: Acromium, Head of Femur etc	140000.00
NHIA-054-020	NHIA-054-020 - Surgical Repair of Congenital Talipes Equanovarus/ Valgus	140000.00
NHIA-054-021	NHIA-054-021 - Tendon Grafting	140000.00
NHIA-054-022	NHIA-054-022 - Tendon Transplant	140000.00
NHIA-054-023	NHIA-054-023 - Decompression of Carpal Tunnel Syndrome	140000.00
NHIA-054-024	NHIA-054-024 - Tenoplasty	140000.00
NHIA-061-001	NHIA-061-001 - Adventitious Bursae - Excision	28000.00
NHIA-061-002	NHIA-061-002 - Bakers Cyst - Excision	28000.00
NHIA-061-003	NHIA-061-003 - Biopsy of Oesophageal Mass	28000.00
NHIA-061-004	NHIA-061-004 - Biopsy of Prostate	28000.00
NHIA-061-005	NHIA-061-005 - Biopsy of Tumour of Abdominal Wall	28000.00
NHIA-061-006	NHIA-061-006 - Bursa - Excision	28000.00
NHIA-061-007	NHIA-061-007 - Catheterization of Urinary Bladder per session (up to three sessions annually)	28000.00
NHIA-061-008	NHIA-061-008 - Cervical Lymph nodes - Excision	28000.00
NHIA-061-009	NHIA-061-009 - Circumcision of the Grown-Up	28000.00
NHIA-061-010	NHIA-061-010 - Debridement And Toilet of Wounds	28000.00
NHIA-061-011	NHIA-061-011 - Dermoid Cyst Excision	28000.00
NHIA-061-012	NHIA-061-012 - Dissection of Inguinal Nodes	28000.00
NHIA-061-013	NHIA-061-013 - Dorsal Slit and Reduction of Paraphimosis	28000.00
NHIA-061-014	NHIA-061-014 - Electrofulguration of Condylomata Acuminata	28000.00
NHIA-061-015	NHIA-061-015 - Excision of Breast Lump	28000.00
NHIA-061-016	NHIA-061-016 - Excision of Intrascrostal Mass	28000.00
NHIA-061-017	NHIA-061-017 - Excision of Neurofibroma	28000.00
NHIA-061-018	NHIA-061-018 - Excision of Tophi	28000.00
NHIA-061-019	NHIA-061-019 - Excision of Fibroadenoma of the Breast - Unilateral	28000.00
NHIA-061-020	NHIA-061-020 - Ganglion - Excision	28000.00
NHIA-061-021	NHIA-061-021 - Gastroduodenoscopy/ Endoscopies	28000.00
NHIA-061-022	NHIA-061-022 - Granuloma - Excision	28000.00
NHIA-061-023	NHIA-061-023 - Herniotomy	28000.00
NHIA-061-024	NHIA-061-024 - Incision And Drainage of Abscess	28000.00
NHIA-061-025	NHIA-061-025 - Infected Bunion Foot - Excision	28000.00
NHIA-061-026	NHIA-061-026 - In-growing Toenail (Excision)	28000.00
NHIA-061-027	NHIA-061-027 - Intercostals Drainage Insertion (Chest tube Insertion) Closed tube thoracothomy Drainage	28000.00
NHIA-061-028	NHIA-061-028 - Lipectomy	28000.00
NHIA-061-029	NHIA-061-029 - Liver/ Kidney/ Bone Marrow Biopsy	28000.00
NHIA-061-030	NHIA-061-030 - Lords Procedure (Fissure-in-Ano)	35000.00
NHIA-061-031	NHIA-061-031 - Lumpectomy – Excision	28000.00
NHIA-061-032	NHIA-061-032 - Oesophagoscopy for foreign body removal	35000.00
NHIA-061-033	NHIA-061-033 - Paracentesis (A/C Wash Out)	28000.00
NHIA-061-034	NHIA-061-034 - Pericardiocentesis	28000.00
NHIA-061-035	NHIA-061-035 - Priapism, Shunt Procedure All Types	32200.00
NHIA-061-036	NHIA-061-036 - Proctoscopy	28000.00
NHIA-061-037	NHIA-061-037 - Punch Biopsy	14000.00
NHIA-061-038	NHIA-061-038 - Rectal Dilation	28000.00
NHIA-061-039	NHIA-061-039 - Sebaceous Cyst - Excision	28000.00
NHIA-061-040	NHIA-061-040 - Sigmoidoscopy	28000.00
NHIA-061-041	NHIA-061-041 - Sinus - Excision	28000.00
NHIA-061-042	NHIA-061-042 - Surgical Drainage in Haematoma of Rectus Abdominis	28000.00
NHIA-061-043	NHIA-061-043 - Surgical Drainage of Anal Abscess	28000.00
NHIA-061-044	NHIA-061-044 - Surgical Drainage of Galactocoele	28000.00
NHIA-061-045	NHIA-061-045 - Surgical Release of Stenosing Tenosynovitis	28000.00
NHIA-061-046	NHIA-061-046 - Suture of Major Wounds	28000.00
NHIA-061-047	NHIA-061-047 - Syndactylus	28000.00
NHIA-061-048	NHIA-061-048 - Testicular Biopsy	28000.00
NHIA-061-049	NHIA-061-049 - Varicocoelectomy	28000.00
NHIA-062-001	NHIA-062-001 - Anal Fistulectomy Repair	56000.00
NHIA-062-002	NHIA-062-002 - Anal Sphincteroplasty	56000.00
NHIA-062-003	NHIA-062-003 - Anorectoplasty	56000.00
NHIA-062-004	NHIA-062-004 - Appendicectomy	49000.00
NHIA-062-005	NHIA-062-005 - Bilateral Cutaneous Ureterostomy	56000.00
NHIA-062-006	NHIA-062-006 - Bilateral Ureteoenterostomy	56000.00
NHIA-062-007	NHIA-062-007 - Branchial Fistula	49000.00
NHIA-062-008	NHIA-062-008 - Bronchial Cyst	49000.00
NHIA-062-009	NHIA-062-009 - Bronchoscopy	49000.00
